ID,Posted at,Screen name,Text
585866065823019008,2015-04-08 18:05:29 +0000,ojalajuho,"RT @lenagroeger: Wow, all the videos from this year’s #openvisconf are already posted! How late were you up, @ireneros? https://t.co/IdLBhwVkvH"
585865774717337601,2015-04-08 18:04:20 +0000,laurelatoreilly,"RT @lenagroeger: Wow, all the videos from this year’s #openvisconf are already posted! How late were you up, @ireneros? https://t.co/IdLBhwVkvH"
585865383921463297,2015-04-08 18:02:47 +0000,noahi,"RT @lenagroeger: Wow, all the videos from this year’s #openvisconf are already posted! How late were you up, @ireneros? https://t.co/IdLBhwVkvH"
585865014369595392,2015-04-08 18:01:18 +0000,jcukier,"RT @lenagroeger: Wow, all the videos from this year’s #openvisconf are already posted! How late were you up, @ireneros? https://t.co/IdLBhwVkvH"
585862283793928193,2015-04-08 17:50:27 +0000,phil_renaud,"Back in Halifax after a great couple days in Boston for #openvisconf . Had a blast at the conference, but 3 days without wifi = blah"
585862056127135745,2015-04-08 17:49:33 +0000,sandsfish,so good to see friends at #openvisconf! inspiration recharge! thx @superSGP @moebio @zanstrong @ireneros @kanarinka !
585860536144961536,2015-04-08 17:43:31 +0000,xpiot,RT @dominikus: .@moebio's Lichen could be the ultimate remixing engine for the web - looks amazing already! #openvisconf
585855769649795073,2015-04-08 17:24:34 +0000,Milr0c,RT @vlandham: Thanks #openvisconf for scrolling with me. Slides resources and code for my scroll talk are here: http://t.co/cvqC3hVl3j
585855552195960832,2015-04-08 17:23:42 +0000,dominikus,What I found out the hard way at #openvisconf: you can't display WebGL on an external display. Only mirroring works.
585853252404703232,2015-04-08 17:14:34 +0000,laneharrison,RT @iamctodd: Get humans to connect w/ data : #sketchnotes of @laneharrison at #openvisconf http://t.co/UFNSduBr2Y
585852922245832704,2015-04-08 17:13:15 +0000,Milr0c,"It was great finally meeting @arnicas, @adamrpearce, @BlackiLi, and everyone else at #openvisconf. I can't wait until next year."
585852079853436929,2015-04-08 17:09:55 +0000,jonobr1,Excited to share the talk I did at #openvisconf for #SF’s own festival by @GrayAreaorg this Memorial Day Weekend: http://t.co/uKgGo3Xhie
585850482817634305,2015-04-08 17:03:34 +0000,kadamwhite,"RT @lenagroeger: In case you want to see a bunch of loops, again. http://t.co/1YDMFgD8oo #openvisconf"
585850134132613120,2015-04-08 17:02:11 +0000,vlandham,"RT @lenagroeger: In case you want to see a bunch of loops, again. http://t.co/1YDMFgD8oo #openvisconf"
585845233168056320,2015-04-08 16:42:42 +0000,urbaninnonet,RT @urbandata: Next Generation of #DataVis Tools: @jeffrey_heer's #openvisconf keynote slides: http://t.co/iw15QLdTSP @uwdata #nnip http://t.co/0s5nrPj4Zr
585843343277461506,2015-04-08 16:35:12 +0000,smcbride79,RT @valenciocardoso: Shoutouts to all the anonymous animals who contributed to #openvisconf's community note 👍. You made my life easier. http://t.co/1wHPh1BtNU
585842595898593280,2015-04-08 16:32:13 +0000,jc_nesci,RT @lenagroeger: Sometimes at #openvisconf it's like http://t.co/hkIRhLAvOE
585835791852707840,2015-04-08 16:05:11 +0000,GurmanBhatia,"RT @kosamari: ""You have billion dollars dataset in your finger tip for free. Open Data is in a way more important than Open Source"" @cambecc #openvisconf"
585835697237528576,2015-04-08 16:04:49 +0000,moebio,"RT @AlexGraul: Watching @moebio unveil a composable visualisation infrastructure & visual dev env, this could be huge #openvisconf http://t.co/B81UgqTB9M"
585833895230308353,2015-04-08 15:57:39 +0000,xavier_seignard,"RT @AlexGraul: Watching @moebio unveil a composable visualisation infrastructure & visual dev env, this could be huge #openvisconf http://t.co/B81UgqTB9M"
585833749302157312,2015-04-08 15:57:04 +0000,xavier_seignard,RT @moebio: Subscribe to Lichen (recently featured at #openvisconf) mailing list to be notified about launch and major releases http://t.co/8QeebH8DmF
585832514134155264,2015-04-08 15:52:10 +0000,KristinHenry,"RT @lenagroeger: Wow, all the videos from this year’s #openvisconf are already posted! How late were you up, @ireneros? https://t.co/IdLBhwVkvH"
585832441950121985,2015-04-08 15:51:53 +0000,scottberinato,RT @DaigoFuji: #OpenVisConf was awesome. It is absolutely by far my favorite conference. Thank you @Bocoup @IreneRos @boazsender for putting it together.
585832396588724224,2015-04-08 15:51:42 +0000,smokenight,"RT @zevross: Three great #d3js projects from speakers at #openvisconf 

http://t.co/iJ4HKaJHDb
http://t.co/oB2oV7Hhf2
http://t.co/D6GEqec1Qe"
585831486940717056,2015-04-08 15:48:05 +0000,jegeragh,RT @lenagroeger: Sometimes at #openvisconf it's like http://t.co/hkIRhLAvOE
585827779402407936,2015-04-08 15:33:21 +0000,godoacuna,"RT @zevross: Three great #d3js projects from speakers at #openvisconf 

http://t.co/iJ4HKaJHDb
http://t.co/oB2oV7Hhf2
http://t.co/D6GEqec1Qe"
585825509147353089,2015-04-08 15:24:20 +0000,mikevizneros,"Definitely had a case of #FOMO regarding #openvisconf, but thanks to the efforts of the #dataviz Twitterverse, I think I'll pull through."
585824093968080897,2015-04-08 15:18:42 +0000,iwebst,Had an amazing time sharing space stuff at #openvisconf! So many smart creative people - loved meeting the viz community. Thanks @bocoup!
585823835280183296,2015-04-08 15:17:41 +0000,zevross,"Three great #d3js projects from speakers at #openvisconf 

http://t.co/iJ4HKaJHDb
http://t.co/oB2oV7Hhf2
http://t.co/D6GEqec1Qe"
585823018871459840,2015-04-08 15:14:26 +0000,iwebst,"RT @OpenVisConf: .@iwebst #openvisconf on how space data visualization plays a role in our interactions with space, on 🌍 and in 🌌. 🔭🚀 http://t.co/6asT81Wq1N"
585822360902709250,2015-04-08 15:11:49 +0000,DaigoFuji,#OpenVisConf was awesome. It is absolutely by far my favorite conference. Thank you @Bocoup @IreneRos @boazsender for putting it together.
585822195810750465,2015-04-08 15:11:10 +0000,bwinton,"RT @lenagroeger: Wow, all the videos from this year’s #openvisconf are already posted! How late were you up, @ireneros? https://t.co/IdLBhwVkvH"
585822109454204928,2015-04-08 15:10:49 +0000,lenagroeger,"Wow, all the videos from this year’s #openvisconf are already posted! How late were you up, @ireneros? https://t.co/IdLBhwVkvH"
585822029871521792,2015-04-08 15:10:30 +0000,dominikus,"RT @lenagroeger: Thank you @ireneros and @bocoup @OpenVisConf for another truly inspiring, thought-provoking, and just so fun #openvisconf!"
585821740644827136,2015-04-08 15:09:21 +0000,lenagroeger,"Thank you @ireneros and @bocoup @OpenVisConf for another truly inspiring, thought-provoking, and just so fun #openvisconf!"
