ID,Posted at,Screen name,Text
725404433606135808,2016-04-27 19:21:08 +0000,ana_becker,RT @rachelbinx: nicest diagram of pre-attentive processing I've seen #openvisconf https://t.co/soGbnRPIic
725403798085226498,2016-04-27 19:18:37 +0000,ana_becker,RT @_inundata: Vis literacy is hard so don’t get carried away with fancy tools. Great advice @rachelbinx #OpenVisConf https://t.co/32Q58HPyjv
725402520735080448,2016-04-27 19:13:32 +0000,ana_becker,"RT @AmeliaMN: Slides and links from my #openvisconf talk, ""Do you know nothing when you see it?” are here: https://t.co/9WZBS4dwad https://t.co/3QEkkOcm8E"
725401308296019968,2016-04-27 19:08:43 +0000,micahstubbs,antique maps! 🗺 #openvisconf https://t.co/LvYoNFTmXx
725400468613124098,2016-04-27 19:05:23 +0000,michinebeling,RT @kanitw: @uwdata's @arvindsatya1 on stage at #openvisconf showing our work on #Vega (and Vega-Lite) https://t.co/DygjJfO02a
725387026254671875,2016-04-27 18:11:58 +0000,AmyCesal,RT @georgiamoon: .@OpenVisConf maybe you can do some gender and engagement analysis when you look at the data of the conference? #openvisconf
725383445640159233,2016-04-27 17:57:45 +0000,Jeremy_CF_Lin,"RT @OpenVisConf: ""Designing Virtual Reality Data Visualizations"" with @ana_becker #openvisconf https://t.co/EFRPBRJ2HY"
725383144619282432,2016-04-27 17:56:33 +0000,hannah_recht,Played with Vega on the plane home from #openvisconf. API is so consistent/simple that I could manage editing an example w/o doc access. 👏👏
725382859800891392,2016-04-27 17:55:25 +0000,RogerWallstreet,"RT @OpenVisConf: ""Designing Virtual Reality Data Visualizations"" with @ana_becker #openvisconf https://t.co/EFRPBRJ2HY"
725380364487802881,2016-04-27 17:45:30 +0000,tylermachado,"Unexpected thing I learned at #openvisconf: Galton invented Plinko, basically  https://t.co/9OpZFxUNT6"
725376753737289728,2016-04-27 17:31:09 +0000,marionasnes,"RT @OpenVisConf: ""Designing Virtual Reality Data Visualizations"" with @ana_becker #openvisconf https://t.co/EFRPBRJ2HY"
725370988662153216,2016-04-27 17:08:15 +0000,akhooli,RT @arnicas: Nlp tools they use in @chrisnf lab #openvisconf https://t.co/4yK02xC7S9
